game_name,active_plyrs(min),active_plyrs(24hrs),pos_reviews,gross_rev,units_sold
The Thrill of the Fight - VR Boxing,9,27,95.50%,757000,102000
I Expect You To Die,9,21,94.50%,2 300 000,136000
Spooky's Jump Scare Mansion: HD Renovation,13,42,95.80%,684000,95980
Medal of Honor™: Above and Beyond,6,13,61.70%,2 600 000,64710
Vacation Simulator,6,33,91.40%,312000,13468
GORN,10,30,94.20%,3 200 000,225000
Hand Simulator,95,191,84.10%,6 200 000,470000
One-armed cook,386,1290,93.30%,0,332000
Guardians Frontline,10,12,86.60%,58839,4020
Creed: Rise to Glory™,9,32,79.60%,1 300 000,63295
The Room VR: A Dark Matter,3,9,97.60%,1 900 000,92400
Drunkn Bar Fight,3,13,74.70%,358000,36067
SURV1V3,8,21,82.10%,912000,49380
Noun Town: VR Language Learning,3,4,91.20%,22647,2070
Duck Season,2,8,84.10%,916000,62500
EVERSPACE™,52,126,79%,12 700 000,665000
Wrench,5,16,91.30%,490000,26004
All-In-One Sports VR,16,39,84.20%,222000,14280
Megaton Rainfall,2,12,71.70%,746000,65092
I'm on Observation Duty 3,3,9,80.50%,12918,5700
Steel Crew,1,7,87.10%,171000,12330
Touge Shakai,15,35,82.10%,98229,8190
RaceRoom Racing Experience,143,809,73.60%,0,909000
HereSphere VR Video Player,13,26,90.60%,72864,3180
Kill It With Fire VR,6,8,92.30%,9714,810
Swordsman VR,2,6,73.80%,211000,14430
VAIL VR,29,44,81.50%,376000,31380
Moss: Book II,5,15,99.20%,175000,7380
WGT Golf,175,266,61.90%,0,62520
Vermillion - VR Painting,3,6,95.60%,220000,14940
Budget Cuts,7,13,80.40%,1 400 000,69230
Trover Saves the Universe,5,9,91.60%,1 900 000,84783
Eleven Table Tennis,7,25,95.10%,1 500 000,136000
Project CARS 3,22,77,53.90%,4 100 000,95790
PRO ERA,5,5,70.20%,82065,3420
Hubris,2,5,76.20%,332000,11220
Psychonauts in the Rhombus of Ruin,2,4,87.70%,124000,9821
Thief Simulator VR,4,7,69.50%,353000,29640
Chess Ultra,10,34,74.90%,493000,57655
SEGA Mega Drive and Genesis Classics,49,115,84.70%,20 400 000,510000
cyubeVR,0,10,92.20%,356000,24975
Until You Fall,2,14,94.60%,1 400 000,88170
Bullet Roulette VR,2,7,83.60%,65681,13920
aerofly RC 8,4,10,82.50%,138000,2400
Garden of the Sea,5,14,93.50%,210000,17040
fpsVR,213,331,97.80%,182000,61879
Paradox of Hope VR,3,7,90.30%,206000,14280
IronWolf VR,0,9,95.60%,451000,30810
Borderlands 2 VR,2,9,55%,1 500 000,45568
Red Matter 2,0,8,94.10%,199000,8580
World of Warplanes,99,184,74.80%,0,110000
The Bus,11,168,76.20%,2 500 000,133000
Surgeon Simulator,15,30,82.30%,13 200 000,230000
iVRy Driver for SteamVR,3,5,72.60%,0,4321
Tiny Town VR,5,20,92.30%,178000,15473
MOTHERGUNSHIP: FORGE,1,11,93.10%,79928,5190
Rolling Line,25,82,95.60%,351000,27223
Rez Infinite,1,3,92.20%,631000,39086
Moss,4,13,95.10%,1 100 000,54170
TribeXR DJ School,1,3,92.10%,94759,4993
Surgeon Simulator: Experience Reality,4,8,50.40%,1 800 000,138000
Wanderer,20,52,85.40%,613000,20970
Warplanes: Battles over Pacific,0,3,80.70%,42996,3420
War Dust VR: 32v32 Battlefields,5,26,80.70%,742000,46260
Cosmonious High,4,16,96.80%,131000,5700
Budget Cuts 2: Mission Insolvency,1,6,80.80%,284000,13560
VoiceAttack,88,132,96.30%,160000,17687
Fast and Low,4,12,79.50%,209000,13088
Space Pirate Trainer,4,17,94.40%,2 500 000,224000
Tales Of Glory,4,8,81.20%,568000,26280
Kingspray Graffiti VR,4,13,84.20%,348000,29901
Karnage Chronicles,4,10,85.30%,620000,36960
Overload,12,19,94.30%,593000,27917
Master Bladesmith,2,5,83.20%,226000,10920
REQUISITION VR,1,5,77.40%,130000,8880
Jetborne Racing,0,4,90.30%,81976,12990
Airport Ground Handling Simulator VR,2,5,66.70%,60827,2610
Reentry - An Orbital Simulator,9,19,96.10%,363000,19475
Gal*Gun 2,6,16,86.30%,1 300 000,55643
Shapelab,6,6,91%,86169,5348
BattleGroupVR,17,29,93.80%,388000,22170
Medal of Honor™,15,63,73.90%,6 000 000,499000
Jet Island,1,4,95.80%,832000,56350
Vox Machinae,3,10,89.80%,649000,34020
Crisis Brigade 2 reloaded,0,10,83.70%,109000,7920
IRON REBELLION,2,4,81%,85802,7440
BallisticNG,5,21,93.70%,415000,84550
Virtual Virtual Reality,0,3,92%,199000,18409
Batman™: Arkham VR,2,5,67.50%,1 000 000,74930
X Rebirth VR Edition,0,4,56.80%,450000,16126
Catch & Release,2,5,89.80%,97036,6249
Tiny Island,1,4,92.60%,8996,810
Climbey,0,6,90.70%,247000,33810
Samurai Slaughter House,1,1,48.90%,24182,1350
Virtual Home Theater Video Player,2,9,97.60%,46584,1822
Cosmodread,0,1,92.60%,103000,10470
The Wizards - Dark Times,0,5,78.60%,212000,12330
FREEDIVER: Triton Down,0,2,84.10%,52618,8122
Race The Sun,3,11,93.70%,4 700 000,717000
Frenzy VR,0,4,70.20%,38849,4260
The Falconeer,0,6,78%,177000,9690
Tank Mechanic Simulator VR,0,0,73.90%,10079,720
L.A. Noire: The VR Case Files,0,6,55.60%,778000,36673
Dreadhalls,0,2,94.70%,85936,11572
Swords of Gurrah,0,4,77%,280000,24630
Vanishing Realms™,0,2,90.20%,1 500 000,98429
Escape From Mandrillia: Local Asymmetric VR vs PC,2,6,98.90%,24228,2610
Vanishing Realms™,0,2,90.20%,1 500 000,98429
Tracery of Fate,0,1,81.90%,55752,3510
Aerofly FS 2 Flight Simulator,11,21,78.60%,2 800 000,66697
Best Forklift Operator,0,4,84.20%,65475,5490
Shadow Legend VR,0,2,78%,294000,18565
ALTDEUS: Beyond Chronos,0,4,95.70%,173000,8970
Britannic: Patroness of the Mediterranean,2,4,90%,232000,20670
狼と香辛料VR/Spice&WolfVR,2,2,93.20%,750000,41525
Battlezone Gold Edition,2,5,77.60%,364000,14844
WalkinVR,2,5,100%,0,750
Final Assault,1,5,93.80%,282000,16854
Scanner Sombre,6,8,89%,805000,149000
Electronauts - VR Music,1,3,92.80%,226000,17246
DEEMO -Reborn-,4,9,87.50%,1 600 000,90660
Narcosis,0,3,75.20%,415000,34546
