game_name,active_plyrs(min),active_plyrs(24hrs),pos_reviews,gross_rev,units_sold
Mini Motor Racing X,0,3,86.90%,90111,7800
Let's Create! Pottery VR,0,1,75.80%,13967,990
A-Tech Cybernetic VR,1,2,61.50%,264000,21720
Google Earth VR,31,60,95.10%,0,195000
Twilight Path,0,0,83.20%,55886,5370
Combat Air Patrol 2: Military Flight Simulator,1,2,48.40%,346000,14708
Ultrawings,0,2,89.10%,293000,19542
Dungeons & Treasure VR,0,2,75.40%,20828,1450
Big Booty Adventures,0,1,88.20%,3616,510
Soundboxing,1,1,88%,199000,32014
Visionarium,0,1,85.10%,8776,1728
Table of Tales: The Crooked Crown,0,0,85.70%,41334,2520
Wanted Killer VR,0,0,82.70%,9876,1277
YUKI,0,0,91.40%,26301,1740
Mervils: A VR Adventure,0,0,88.10%,30532,2828
Range is HOT!,0,0,69%,23628,1260
Visionarium,0,1,85.10%,8776,1728
VAR: Exterminate,1,2,89.80%,28987,3810
Hop Step Sing! VR Live 《Hop★Summer Tour 2020》,0,1,100%,27032,1440
Sinister Halloween,0,0,86.10%,19822,3510
Gnomes & Goblins,0,1,72.20%,74745,3450
Dance Collider,0,1,83.60%,46393,5130
Larcenauts,0,1,72.30%,124000,6060
Throw Anything,0,0,85.70%,9568,922
Virtual Virtual Reality 2,0,1,54.50%,10079,660
Carnival Games® VR,0,1,42%,247000,20427
Darknet,1,1,91.80%,49409,4625
Big Hit VR Baseball,1,1,90.90%,12145,808
Water Bears VR,0,1,92.70%,140000,19583
Bullets And More VR - BAM VR,0,0,87.80%,242000,22343
Polynomial 2 - Universe of the Music,0,0,83.20%,83535,9464
The secret pyramid VR,0,1,100%,2302,480
Castle Must Be Mine,0,0,89.90%,83533,9056
CYBRID,0,1,88.90%,25449,2430
Flight 74,0,1,72.40%,10360,870
8089: The Next Action RPG,0,1,85.70%,13433,1890
Sublevel Zero Redux,0,1,88.20%,282000,25165
The Golf Club VR,2,5,68.40%,341000,20956
Battle Dome,0,1,87.70%,265000,23631
VR Furballs - Demolition,0,0,95.30%,36233,5437
STRANGER,0,1,77.40%,11703,1590
VR Flush,0,2,95.50%,0,30746
Time Rifters,1,1,89%,144000,21999
Titans of Space PLUS,0,3,94.10%,35615,5580
Gloomy Eyes,0,2,89.30%,31479,4770
Kodon,0,2,67.30%,285000,11379
King Kaiju,0,1,77.10%,38042,10756
Motoride Rollercoaster VR,0,2,75.40%,6697,1950
Neverout,3,4,60.60%,16326,4333
Conductor,0,1,93.50%,83485,11873
Aery VR - Little Bird Adventure,0,0,93.80%,3117,480
Downward Spiral: Prologue,0,1,86.90%,14784,5199
Contagion VR: Outbreak,0,1,64.90%,267000,19590
Quell 4D,0,0,81.70%,39052,2665
Magitek VR,0,2,90.50%,6263,630
Candy Kingdom VR,0,0,80.50%,18887,2419
Candy Kingdom VR,0,0,80.50%,18887,2419
Ultimate Booster Experience,3,6,77.10%,112000,32980
Airtone,0,0,94.70%,163000,8005
FLASHOUT 3,0,1,47%,60000,3960
Candy Smash VR,1,2,69.80%,5580,1689
Trump Simulator VR,0,1,80%,3525,4509
Cmoar VR Cinema,0,2,60.40%,86199,11556
ADR1FT,1,2,55.40%,1 400 000,106000
からかい上手の高木さんVR 1学期,0,2,80%,51270,4950
Wolfenstein: Cyberpilot,0,0,46.60%,113000,7892
Twisted Arrow,0,0,90%,47494,3693
1976 - Back to midway,2,2,91.10%,33791,3690
The Experiment: Escape Room,2,5,57.60%,16965,5826
The Living Remain,0,1,78.10%,74858,4800
Isle of Pan,0,0,95.70%,9357,690
Counter Fight,0,1,82.20%,64034,12202
Little Witch Academia: VR Broom Racing,0,0,91.70%,15441,720
Stunt Kite Masters VR,0,1,95.10%,5985,1751
Alice Mystery Garden,0,0,95.10%,33270,9447
Blueplanet VR,0,1,81.10%,31997,1590
Chicks and Tricks VR,0,1,79.30%,2443,728
Temple of Aluxes,0,0,76.10%,7085,1520
Devil and the Fairy,0,1,71.80%,10366,1467
Airborn,0,1,90.40%,27241,2820
Captain ToonHead vs the Punks from Outer Space,0,0,100%,14429,780
PAPER FIRE ROOKIE (Formerly Paperville Panic),0,1,71.90%,16541,1726
Racket Fury: Table Tennis VR,0,2,82.70%,149000,12557
TITAN SLAYER,0,1,79.50%,47887,5572
Extreme Escape,1,1,85.50%,11212,2070
Cold Iron - Quick Draw Western Duels,0,0,77.80%,8186,722
Desperate: Vladivostok,0,0,90.90%,17739,1650
LyraVR,0,0,84%,9958,1063
VR SUPER SPORTS,0,2,56.90%,34767,3994
Target React Force,0,1,70.60%,5304,510
Touring Karts,0,2,78.70%,52279,3810
Torn,1,2,64.90%,167000,7814
Quar: Battle for Gate 18,0,0,88.10%,68458,4806
The Under Presents,0,2,90.50%,27050,2580
Ven VR Adventure,0,0,81.70%,47118,2460
Mr.Hack Jack: Robot Detective,0,0,91.40%,13164,1234
CURSED NIGHT - The House,0,0,85.20%,4611,840
Virtual AI - Lily,0,0,81.80%,4992,330
Paddle Up,0,0,87.30%,85911,11003
Sky Strikers VR,1,3,100%,0,450
Boogeyman 2,2,2,81.30%,49434,13277
Left-Hand Path,0,0,84.60%,93906,5612
Unplugged,0,2,67.70%,31315,1950
Mare,0,0,79.30%,12288,870
Ocean Rift,0,3,78.50%,32927,4769
Great Paintings VR,0,1,92.90%,0,2550
Time Hacker,0,0,81.30%,11247,990
BoomBox,0,2,91.80%,41482,4410
Panther VR,0,0,67.70%,42566,2880
Tinertia,0,1,95.40%,43482,4469
Highline Volleyball VR,1,1,70.60%,9479,510
Lethal VR,0,1,79.10%,77328,8191
Think Space,0,0,83.30%,4860,945
Evasion,0,3,71.90%,49873,2110
Hyper Dash,6,19,88.90%,50533,6210
Dead Second,0,0,90.90%,7845,660
Car Parking Simulator VR,0,0,73.80%,14507,1260
After Dark VR,0,3,63.60%,21637,2640
HINGE VR,0,1,72.50%,95551,5670
Serious Sam VR: The Second Encounter,1,3,85.70%,429000,17925
Voxel Shot VR,0,1,88.90%,8800,1040
Marble Land,0,1,87%,24043,2748
Descending I - House of Nightmares,1,1,89.20%,5184,1110
Arden's Wake,0,0,86.10%,5469,1080
TrainerVR,0,1,93.20%,18562,2343
Flying Hero VR,0,0,84.20%,16801,2310
Hop Step Sing! Kisekiteki Shining! (HQ Edition),0,0,89.50%,7738,2225
Starway: BaRaider,0,0,100%,1869,390
Aeon,0,1,73%,146000,11166
Rage Room,0,0,51.90%,20897,1887
Final Space - The Rescue,0,0,87.50%,8790,750
NetStars - VR Goalie Trainer,0,0,75%,8370,677
Lucid Dream Simulator,0,0,88.90%,1776,540
Firebird - La Peri,0,0,81.20%,68099,10331
Catify VR,0,1,66%,5772,1559
Reiko's Fragments,0,1,73%,44587,5256
Eagle Flight,0,1,59.60%,549000,25835
Ninja Legends,0,1,94.30%,28632,2068
Rocking Legend,0,3,80.80%,26936,1560
Machine Learning: Episode I,44,478,72.20%,2177,3849
Kingdom Run VR,0,0,91.70%,1062,360
Boogeyman,1,4,81.20%,207000,49899
Guided Meditation VR,0,0,78.40%,62080,5718
Unseen Diplomacy,0,0,89.10%,21945,9171
Magical Squash,0,0,90%,4852,648
"A Fear Of Heights, And Other Things",0,0,85%,2429,3195
Star Wars™ Pinball VR,0,2,39.30%,74694,4890
Sam & Dan: Floaty Flatmates,0,5,92.70%,0,13334
Echo Grotto,0,0,89.20%,11206,2301
Spectro,0,0,85.50%,25407,1860
Black Hat Cooperative,0,1,74.40%,29621,4059
EVEREST VR™,4,4,50.80%,283000,17797
Final Soccer VR,0,1,77.90%,127000,11888
Era of Combat: Boxing,1,4,64.40%,21237,1350
Virtual Battlegrounds,0,1,68.70%,206000,14610
TEMPUS,0,1,74.60%,11121,1770
Adventure Time: Magic Man's Head Games,0,1,74.30%,29990,7791
Cave Digger VR,0,3,76.50%,984000,79261
Lucky Fish Bread,0,0,100%,5154,600
Gorilla Soccer,2,7,79.50%,0,2640
Dick Wilde 2,1,5,76.10%,17841,1246
Rocket Skates VR,0,0,85.70%,10371,1680
GAMECINE VR,0,0,62.50%,7433,510
Cloudlands : VR Minigolf,0,4,83.90%,620000,42102
Powerboat VR,0,0,70%,9120,630
Disaster Report 4: Summer Memories,0,2,71.10%,513000,11730
Unbreakable Vr Runner,0,0,98.20%,15404,3308
Magnificent Ships: Volume 1,0,0,93.30%,6458,765
Madrid Noir,0,0,95.80%,4803,720
Survive The Dark,0,0,81.30%,3119,960
Island 359™,0,3,75.80%,276000,17702
Spacefolk City,0,0,92.90%,6852,420
Beers and Boomerangs,0,0,100%,9117,870
SynthVR,0,0,88.90%,25946,1650
Eye in the Sky,0,1,91.40%,28679,3516
STRAYLIGHT,0,0,94.70%,8304,570
Old Friend,0,0,93.70%,18719,7879
EscapeVR: Trapped Above the Clouds,0,0,77.40%,22583,2685
Mental Hospital VR,0,1,73.20%,9801,1680
Along Together,0,1,89.80%,21718,1699
Nemesis Perspective,2,2,89.80%,9813,5111
Just Dance 2017,5,5,78.80%,3 000 000,92884
Manifest 99,0,0,88.10%,12174,2743
Portable Farm,0,1,96.40%,2963,900
GunsBox VR,2,2,85.20%,9386,810
Winter Fury: The Longest Road,0,0,81.80%,12576,990
Manifest 99,0,0,88.10%,12174,2743
Space Dance Harmony,0,1,90%,5148,600
Winter Fury: The Longest Road,0,0,81.80%,12576,990
Portable Farm,0,1,96.40%,2963,900
Rise of Flight United,10,24,54.60%,11 100 000,293000
Escape Room VR: Stories,0,0,46.70%,10817,1148
Rainbow Reactor,0,1,91.80%,17826,2495
Layers of Fear VR,2,3,72.60%,90397,6240
Abode 2,0,2,80.70%,44092,4500
Conquest,0,0,78.10%,7888,960
Orders of Magnitude,0,0,97.10%,6359,1050
Groove Gunner,0,0,83.90%,11606,930
Wolf and Pigs,0,0,81%,7751,630
Carpe Lucem - Seize The Light VR,0,0,89.60%,30655,2745
YUR,11,18,88.20%,0,13470
Potato Party: Hash It Out,0,0,94.40%,3358,540
Punch Pad Workout,0,0,83.30%,2747,576
Arcaxer,0,0,90%,10889,600
Plank not included,0,1,85.10%,11752,1998
MOMO.EXE VR,0,0,72.70%,5649,660
Excavator Simulator VR,0,1,61.80%,5590,1650
OVERTURN,0,0,82.70%,96912,4257
2MD: VR Football Classic,0,0,92%,24941,2602
Warden of the Isles,0,1,88.20%,7056,1020
ALICE VR,0,4,38.10%,106000,9756
Aces High III,3,10,59.30%,0,11014
Marshmallow Melee,0,0,81.70%,37542,3938
Konrad's Kittens,0,0,82.10%,9241,1122
SYNTHSPACE,0,0,90.90%,19617,990
VR Monster Awakens,0,0,80%,16854,1783
Kismet,0,0,90.80%,31624,7185
RC Flight Simulator 2020 VR,0,1,46.90%,11349,960
VR Invaders,0,0,80.50%,25728,2217
VRemin (Virtual Reality Theremin),0,2,85.70%,892,1198
Spaceteam VR,0,0,63.20%,7762,570
Archangel™: Hellfire - Enlist FREE,0,2,55.70%,166000,14564
Blast Beat,0,1,95.60%,19246,1350
Adventure Climb VR,2,7,73.80%,0,9827
Fly Simulator,3,5,65.40%,115000,122000
HOST,1,2,92.30%,7334,950
Rise of Insanity,1,4,79.10%,191000,28706
HOLY QURAN VR EXPERİENCE,0,0,82.10%,5952,870
5089: The Action RPG,1,2,83.80%,115000,18799
Rise of Insanity,1,4,79.10%,191000,28706
Helios,0,1,71.40%,17018,2730
5089: The Action RPG,1,2,83.80%,115000,18799
Mythlink,0,0,100%,3096,390
VR Sweet Heart,0,0,52.90%,2107,510
OVERVIEW (A Walk Through The Universe),0,1,74.30%,36462,3668
Virtual AI - Aki & Mika,0,0,63.60%,9072,660
Slackline VR,0,0,90%,640,300
Girl Mod | GIRLS VR (create + pose in VR),0,0,40%,16891,900
Accounting (Legacy),1,3,93.30%,0,145000
Rift's Cave,35,67,57%,7035,2580
Zombie Slaughter VR,0,0,89.10%,4410,1380
Wheelchair Simulator VR,0,0,73.70%,2737,238
Rinlo,0,0,80.60%,9828,930
Tranzient,0,0,93.80%,6411,442
Ultimechs,0,3,85.80%,0,4020
BAAM SQUAD,0,0,87%,42141,3539
HordeZ,0,0,83.90%,285000,23496
Construct VR - The Volumetric Movie,0,0,80%,5298,2400
Summer Funland,1,3,86.20%,152000,10357
NIGHTSTAR,0,0,91.90%,25052,3033
World Builder,0,0,80%,6620,978
Battlewake,0,3,72.50%,61547,3118
Holodance,0,1,85.60%,74009,6480
Machizzle,0,0,96.90%,6795,960
inVokeR,0,0,82.50%,38323,3953
Cosmic Flow: A Relaxing VR Experience,0,1,96%,0,5310
OldMaidGirl,0,0,70.70%,5041,3305
Volleyball Fever,0,2,92.30%,17929,3211
VRobot: VR Giant Robot Destruction Simulator,0,1,59.10%,30295,3056
Tales of Wedding Rings VR,0,0,77.10%,32583,2506
Rezzil Index / Lite,0,0,100%,0,570
Luna,0,0,85.70%,40253,3958
World of Diving,0,1,51.70%,574000,42380
Dodgeball Simulator VR,0,1,85.70%,8671,1162
Infinite Minigolf,0,1,76.20%,76392,7621
Gravity Lab,0,0,82.10%,22253,1838
ViSP - Virtual Space Port,0,0,89.70%,10951,968
The Assembly,1,1,70.20%,195000,10091
Overkill VR: Action Shooter FPS,0,1,73.60%,126000,8421
Alien Extraction,0,0,93.30%,3710,450
Snow Fortress,0,2,89.10%,26883,3111
ARAYA,6,6,75.70%,401000,36250
JETBOUNCE,0,0,100%,4207,390
Craft Keep VR,0,0,62.70%,85274,7968
Soul Scathe,0,0,80%,24551,1650
"Design it, Drive it : Speedboats",2,4,82.50%,52547,2768
Beats Fever,0,0,74.30%,26236,2673
Golf Pool VR,0,0,76.20%,5390,630
hoVRboard,0,0,94.40%,7538,972
Skiing VR,0,0,85.70%,9641,840
Food Girls - Bubbles' Drink Stand,0,0,80.20%,37630,3780
The Body VR: Journey Inside a Cell,2,3,92.50%,0,14892
DeMagnete VR,0,0,84%,11328,750
Radial-G : Racing Revolved,0,0,78.50%,127000,9662
Crystal Riders VR,0,0,93.30%,4749,450
Crawlspace,1,3,91.90%,288,2220
The FOO Show featuring Will Smith,0,0,86.40%,0,8829
OVR Locomotion Effect : Anti-VR Sickness,0,1,100%,4710,600
Fantasy Little Jobs,0,0,100%,1659,300
FULLCHOKE : Clay Shooting VR,0,0,81%,8037,630
Anyland,0,1,94.70%,79967,21862
Awake: Episode One,0,0,77.80%,8522,1656
VR Chinese Garden Tour (HD): Flying as a dragonfly,0,0,91.70%,648,360
Noda,0,0,93.50%,4146,930
Spacecats with Lasers VR,0,1,100%,3247,830
LuxVR,7,12,89.70%,0,870
Mega Overload VR,0,0,97.20%,44873,4083
Headmaster,0,0,94.10%,19066,1260
Immortal Legacy: The Jade Cipher[VR],0,1,73.90%,23738,2760
VR Formula,0,1,68%,9660,1115
Manny Boxing VR,0,1,57.10%,9503,840
Weaponry Dealer VR,0,1,68.50%,11856,1620
Galactic Rangers VR,0,1,82.30%,25040,1860
Rock Life: The Rock Simulator,8,10,95.20%,0,47790
Vetrix,0,0,100%,5736,1290
VR Walking Simulator,0,1,62.50%,3538,720
Lockdown VR: Kidnapped,0,0,80%,3347,450
Rise: Race The Future,0,1,69.20%,34994,3130
VR STOCK CAR RACERS,0,1,53.30%,5205,593
Surge,0,0,94.20%,0,14772
TurnSignal,33,49,91.40%,0,16821
Mind OVR Matter,0,0,88.90%,2585,900
Be,0,0,84%,7297,750
Hop Step Sing! kiss×kiss×kiss (HQ Edition),0,0,92.90%,8928,2394
Time Machine VR,0,1,63.70%,121000,6564
FlyInside Flight Simulator,2,2,67.80%,113000,4054
Aperture Hand Lab,0,4,89.40%,0,36689
FlyInside Flight Simulator,2,2,67.80%,113000,4054
Aperture Hand Lab,0,4,89.40%,0,36689
Bocce Time! VR,0,0,100%,8325,1230
Hop Step Sing! kiss×kiss×kiss (HQ Edition),0,0,92.90%,8928,2394
Submarine VR,0,0,70.60%,2976,510
White Day VR: The Courage Test,0,1,72.30%,6664,1950
Pipeline VR,0,0,86.70%,3654,450
Shibainu - VR Katana Simulator,0,0,67.60%,8721,1110
Deadly Hunter VR,0,1,80.70%,31812,62509
Dry Erase: Infinite VR Whiteboard,0,0,61.70%,14253,1788
Biolum,0,0,78.80%,12806,2400
JAM GODS,0,0,87.20%,2086,1170
Time Carnage VR,0,1,75.60%,17793,1362
Kartong - Death by Cardboard!,0,0,89.40%,19786,2550
THE LAST PLAYER:VR Battle Royale,0,1,76.20%,139000,9866
NEKOPALIVE,2,4,92.40%,0,75534
All Alone: VR,12,31,70.70%,6453,3200
VR MEDIA VIEWER,1,4,92.30%,4140,780
Ding Dong VR,0,0,93.50%,3665,2366
TURRET SYNDROME VR,0,0,83.30%,2284,419
Skyfront VR,3,20,74.20%,61083,5270
VR Zeppelin Airship Trips: Flying hotel experiences in VR,0,0,83.30%,2078,360
Hypnosis Reveries,0,0,83.30%,2736,390
Project Terminus VR,0,0,73%,15598,1140
UNTITLED,0,0,92.30%,3142,1338
Out of Ammo: Death Drive,0,1,71.10%,48853,4715
Nevrosa: Prelude,0,0,87.40%,0,27815
AGOS - A Game Of Space,0,1,61.30%,60110,2790
Cactus Cowboy - Plants at War,0,1,85.90%,0,2340
Super VR Trainer,0,0,75%,11864,1178
MarksmanVR,0,0,84.20%,7458,883
Cockroach VR,0,1,95.60%,3421,2268
The Price of Freedom,0,0,93%,26833,22142
Virus Popper,1,1,84.70%,0,1770
Subject 264,0,2,89.50%,4653,490
NIGHTSTAR: Alliance,0,0,83.60%,15586,2098
Air Traffic BLITZ VR,0,0,85.70%,1285,420
Sleep Tight,0,0,89.70%,7708,870
The Bond,0,1,94.80%,0,4695
Nefertari: Journey to Eternity,0,1,93.70%,0,7333
Portal Stories: VR,0,5,85.10%,0,67177
A Shopping Trip to Eklan Tor,0,1,98.90%,5207,5670
Starbear: Taxi,0,0,83.30%,6546,1377
Nefertari: Journey to Eternity,0,1,93.70%,0,7333
Portal Stories: VR,0,5,85.10%,0,67177
Space Block Buster,0,0,90.70%,8446,1290
Found,0,1,87.70%,0,7713
Waddle Home,0,0,88.60%,41815,7055
Capsule,0,0,81.30%,1620,480
Monster Collector,0,0,66.70%,12149,720
BeachHead,1,2,60.70%,23758,1830
Taphouse VR,1,2,92.70%,0,5522
A Legend of Luca,0,1,80%,197000,14453
Journey For Elysium,0,1,84.30%,24746,2670
Battle of Red Cliffs VR,0,1,83%,15662,801
Hopalong: The Badlands,0,0,96%,5041,476
Detached,1,1,56.70%,291000,18255
Gunheart,0,5,78%,248000,10481
Flavortown,0,0,78.30%,3096,690
Coffin Rot Brewing Co.,0,0,81%,15771,1260
Dakar 18,5,15,68.30%,996000,38049
Escape Legacy VR,0,1,70.40%,5596,828
VR World War II battlefield experience,0,0,92.90%,1380,420
AirMech Command,0,2,69.10%,155000,10959
Overture Music Visualization,1,1,69%,8532,1260
Stifled - Echolocation Horror Mystery,0,1,75%,44982,2975
Hop Step Sing! Astral Piece,0,1,100%,18922,2520
Happy Oshare Time,0,0,100%,4208,780
Killing Zombies,0,2,78.30%,2950,921
Wake Up,0,0,81.10%,0,24226
The VR Museum of Fine Art,0,1,90.10%,0,15077
Fingers: Mini Games,0,0,96.70%,1897,900
Blaston,2,13,92.70%,75793,15120
Keep Defending,0,0,83.90%,12634,2753
Hot Squat,0,0,90.90%,0,17307
Cowbots and Aliens,0,11,85.40%,76062,5652
Shoot The Zombirds VR,0,0,94.70%,2086,570
No King No Kingdom VR,0,1,68%,9468,780
FURIDASHI: Drift Cyber Sport,1,2,82.30%,381000,39813
Desert Bus VR,0,6,88.30%,0,154000
Endless Labyrinth,0,0,80%,2188,984
Pray in VR Medieval Christian Churches,0,0,94.40%,448,540
Desert Bus VR,0,6,88.30%,0,154000
No Fair Play,8,18,95.20%,2672,630
DEAD TARGET VR: Zombie Intensified,0,0,80%,1890,349
Ashi Wash,0,1,96.80%,2122,990
The Line,0,0,93.10%,3006,870
Ether One,0,1,74.10%,479000,35772
TramSim Munich - The Tram Simulator,17,23,67.10%,357000,14670
SOUNDART,0,0,76.40%,31893,2190
End Space,0,1,68.10%,49521,3908
A-10 VR,0,0,93.20%,44045,12494
Viro Move,0,0,56.70%,17640,900
Super Kaiju,0,0,88.90%,24823,2096
EVERSLAUGHT,0,1,67.80%,138000,10260
Z-Race,1,1,81.90%,22760,2490
Daybreaker VR,0,0,50%,9887,660
Lazerbait,0,1,96.90%,0,44595
Nick,1,1,80%,0,27037
Asteroid Blaster VR,0,0,84.60%,8651,1763
Axe Throw VR,0,0,88.20%,2773,536
WebbVR: The James Webb Space Telescope Virtual Experience,0,0,90.60%,0,1480
TERMINUS,0,0,95%,3407,600
Ionia,0,0,71.10%,28284,2700
FATED: The Silent Oath,0,0,69.40%,60815,5128
Dick Wilde,0,1,92.50%,23634,1968
The Marvellous Machine,0,0,82.80%,3840,2635
HOT GIRLS VR,0,0,44.40%,3868,558
Drunk or Dead,0,1,85%,11469,2263
Eye of the Owl - Bosch VR,0,0,92.10%,0,2690
Battle of Kings VR,0,0,73.20%,11829,1622
Saga of the Void: Admirals,0,0,81.80%,4686,900
Protonwar,0,4,82.10%,30171,3212
Blind,0,1,68.90%,41295,2785
Shadowgate VR: The Mines of Mythrok,0,1,77.80%,10439,540
Felt Tip Circus,0,1,71.40%,9047,1599
RPG NPC Simulator VR,0,0,71.20%,20075,2220
Days of Heroes: D-Day,0,1,67.40%,12597,1290
TramSim Munich - The Tram Simulator,19,23,67.10%,357000,14670
RPG NPC Simulator VR,0,0,71.20%,20075,2220
Spellbound Spire,0,2,93.20%,0,5730
Archery Land,0,0,92.30%,1560,390
"""BUTTS: The VR Experience""",0,0,81.30%,2552,4475
Shattered Lights,0,2,88%,0,14108
Aircar,65,67,94.70%,0,70031
Disco Destruction,0,1,90.70%,7494,1620
Buzludzha VR,0,1,93.30%,8402,1350
Intruders: Hide and Seek,1,2,73.50%,97441,10059
Dragon Extinction VR,0,0,60%,10989,750
Dimensional,0,0,81.10%,11620,3045
Red Rover,0,0,78.90%,2129,675
Bakemono - Demon Brigade Tenmen Unit 01,0,0,80%,8064,600
Practisim VR,0,0,69.80%,26687,1700
Ruckus Ridge VR Party,0,1,64.30%,37034,3210
Insanity VR: Last Score,0,0,83.30%,0,7755
The Rig: A Starmap to Murder,0,0,78%,16054,1500
Stop Sign VR Tools,1,10,90.20%,6853,1560
Neos VR,136,232,83%,0,32094
The Scream,0,0,85.10%,12622,4931
Sentenced VR,0,0,70.60%,7954,1530
Sopwith VR,0,2,86.20%,0,8001
Smashing The Battle VR,0,0,90.50%,12293,1428
Kygo 'Carry Me' VR Experience,0,1,86.20%,2189,1378
Blortasia,0,0,89.10%,10571,2533
Hold My Beer,0,1,89.60%,4259,2979
Go For Launch: Mercury,1,1,84.10%,23889,2070
Desktop+,83,141,88%,0,13290
VR Flight Simulator New York - Cessna,0,1,45.80%,6873,852
GUNGRAVE VR,0,0,54.50%,5228,314
OpenVR Benchmark,0,1,70.40%,0,2160
INCARNA: R•AI•D,0,0,86.40%,8279,660
War Robots VR: The Skirmish,3,5,80.20%,0,36560
Bounce,0,0,92.50%,32971,2200
Downward Spiral: Horus Station,0,2,78.70%,26695,1789
Starfighter Arduxim,0,0,71.40%,3268,1071
ORKANA CONFLICT VR,0,0,91.70%,10164,1080
Stellar Echoes,0,0,91.70%,1681,360
Poly Runner VR,0,1,81.20%,0,3957
Senza Peso,1,1,93.70%,0,17748
Quanero VR,0,1,90.30%,0,19208
Daily OVR,2,4,72.60%,23707,2714
Groundhog Day: Like Father Like Son,0,1,78.70%,48139,3271
ALTAIR BREAKER,0,0,66.70%,29393,1470
2076 - Midway Multiverse,0,0,82.50%,14327,1200
The Book of Distance,1,1,98%,0,4560
Super Raft Boat VR,0,3,98.50%,0,3960
Star Wars: Droid Repair Bay,0,3,88.50%,0,134000
The Puzzle Room VR ( Escape The Room ),0,0,78.40%,29720,3279
Blueshift,0,0,80.50%,0,11100
Crystal Blast,0,0,95.20%,7557,630
BEAT ARENA,0,0,59.50%,27214,1140
Rangi,0,0,100%,3582,466
Bullet Sorrow VR,0,3,83.30%,206000,13300
MIRAGE,0,3,83%,18615,4509
Fast Action Hero,0,0,87%,54532,5811
RESONARK X,0,0,80%,7023,750
Microsoft Maquette,1,1,91.10%,0,2304
The Bellows,0,2,85.90%,19950,12638
Digital Domain’s Monkey King™,0,0,82.40%,2817,704
IL-2 Sturmovik: 1946,31,52,88.90%,830000,128000
Art Plunge,0,1,96.40%,3428,2270
Disco Time 80s VR,0,0,59.40%,470000,126000
The Midnight Sanctuary,0,1,95.80%,4836,726
HOPE VR: Progressive Meditation,0,0,80.80%,4990,780
Shadow Uprising,0,1,83.30%,18936,1402
Dig 4 Destruction,1,3,89.50%,56511,6751
Belko VR: An Escape Room Experiment,1,1,86.20%,0,29926
Hoops VR,1,2,75.40%,45445,7654
Sweet Escape VR,0,6,87%,18510,2595
The Night Cafe: A VR Tribute to Vincent Van Gogh,0,1,95.70%,0,12818
Quanero 2 - System Release,1,1,90.30%,0,960
Caliban Below,0,1,92.80%,0,6337
RollerCoaster VR Universe,0,1,69.30%,6087,3420
LIV,49,65,88.80%,0,11067
Chess Sphere,0,0,89.10%,3759,1246
InMind 2 VR,0,0,71.40%,12137,3433
TapSonic World Champion VR,0,0,81.40%,0,2261
Starcaller,0,1,73.70%,5392,570
Space Pirates And Zombies 2,10,28,78.90%,1 900 000,132000
Kooring VR Wonderland:Mecadino's Attack,0,0,100%,4224,360
VR Home,0,0,57.60%,6092,990
Soul Axiom Rebooted,1,1,82.10%,10722,1680
Cloudrift,0,0,100%,3519,510
Shooty Skies Overdrive,0,0,88.20%,3624,510
MSI Electric City: Core Assault,0,1,91%,0,3338
Horror Adventure VR,0,0,52.90%,3285,510
Henry The Hamster Handler VR,0,1,93.50%,16736,4973
Minotaur Arcade Volume 1,0,1,100%,16823,1920
Witching Tower VR,0,2,78.40%,61157,4353
Solitaire VR,0,1,87.50%,1091,693
Thirst VR,1,1,77.70%,14728,6773
Vertical Shift,0,2,87.10%,0,2100
"Light and Dance VR - Music, Action, Relaxation",0,0,77.30%,5795,1055
Quest for Runia,0,0,100%,3480,570
BLARP!,0,0,94.80%,24664,10413
Frog Hands Steve,0,0,91.70%,0,360
Combat Troops VR,0,1,63.60%,9743,660
Hot Squat 2: New Glory,0,0,95.20%,2146,415
Cable Guardian,39,44,91.70%,0,1440
VR Aquarium -雅-,0,0,100%,2558,638
Off The Chains Disc Golf,0,0,63.60%,13438,990
Monster Showdown,0,1,79.40%,9276,1020
The OmniGallery,0,0,90.50%,0,630
CyberThreat,0,0,73.20%,76090,5766
DinoTrek,0,1,84%,2676,838
Dungeon Brewmaster,0,1,66.70%,31406,3254
Allumette,0,2,94.70%,0,30550
Acan's Call: Act 1,0,1,82.60%,0,21171
Werewolves Within™,0,1,65%,150000,7662
Void Rangers,0,0,80.60%,8310,918
Toran,0,0,94%,0,8120
Tee Time Golf,0,3,80.70%,30358,4424
Neon Seoul: Outrun,0,0,83.30%,4971,566
We Are Stars,0,0,88.10%,17261,2277
Internal Light VR,0,0,84.40%,4380,1243
Basketball Babe,0,0,88%,10698,977
Purgatory Fell,0,0,78.60%,3415,569
Planet Smasher,0,0,80%,1655,636
A Ton Of Feathers,0,0,85.10%,3044,1410
Hijacker Jack : ARCADE FMV,0,0,63.20%,14811,1710
VR Mini Bowling,0,1,80%,3129,946
Banana Attack VR,0,1,100%,0,300
MalovMetaArt Metaverse,0,1,92.90%,0,420
The Persistence,0,2,66.70%,86370,4500
Tiny Wheels,0,0,82.10%,2084,1306
UOS Prototype,0,0,100%,0,6030
Banana Attack VR,0,1,100%,0,300
MalovMetaArt Metaverse,0,1,92.90%,0,420
The Hunger: Games Ensemble,0,0,90.20%,3956,1830
Voxel Tank VR,0,0,50%,1980,743
